City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
81,Jiwani,PK,84.02,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
87,Pasighat,IN,76.41,broken clouds,28.0667,95.3333,Siang Guest House
90,Waddan,LY,80.08,scattered clouds,29.1614,16.139,محل الشريف محمد العايب
91,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
97,Ternate,ID,81.82,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
100,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
101,Tchaourou,BJ,75.85,light rain,8.8865,2.5975,SAFIR HOTEL
109,Dingle,PH,82.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
112,Yarada,IN,80.92,mist,17.65,83.2667,Jeevan
114,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
117,Hithadhoo,MV,83.64,overcast clouds,-0.6,73.0833,Scoop Guest House
123,Loandjili,CG,78.91,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
129,Mana,GF,77.13,overcast clouds,5.6592,-53.7767,LE SAMANA
131,Luganville,VU,79.79,broken clouds,-15.5333,167.1667,The Espiritu Hotel
133,Komsomolskiy,UZ,77.72,few clouds,40.4272,71.7189,Ikathouse
136,Kotri,PK,83.46,clear sky,25.366,68.3122,Drivers Running Room
137,Alofi,NU,76.71,moderate rain,-19.0595,-169.9187,Taloa Heights
141,Mecca,SA,85.95,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
148,Rock Hill,US,80.62,clear sky,34.9249,-81.0251,DDCSVC
149,Soyo,AO,76.48,scattered clouds,-6.1349,12.3689,Hotel Mpampa
151,Bengkulu,ID,76.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
154,Kulhudhuffushi,MV,82.51,broken clouds,6.6221,73.07,Haajy Guest House 1
156,Indramayu,ID,81.72,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
159,Woodward,US,83.73,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
163,Jiaozuo,CN,79.92,few clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
168,Grand Bend,CA,75.11,broken clouds,43.3168,-81.7498,Oakwood Resort
169,Bandarbeyla,SO,79.56,overcast clouds,9.4942,50.8122,JABIR HOTEL
175,Kalmunai,LK,79.21,overcast clouds,7.4167,81.8167,VS Villa
176,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
181,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
184,Hobyo,SO,77.99,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
191,Progreso,MX,81.91,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
198,Champerico,GT,88.34,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
203,Maryville,US,75.45,overcast clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
206,Chincholi,IN,78.44,broken clouds,17.4667,77.4333,Friends men's were
209,Chauk,MM,84.76,broken clouds,20.8833,94.8167,Bo Khin Guest House
213,Kassala,SD,86.97,broken clouds,15.450999999999999,36.4,Amassi Hotel Gash
219,Idah,NG,76.53,light rain,7.1065,6.7342,Ubiga Hotel Idah
222,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
