City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Comarapa,BO,2021-05-23 20:19:13,-17.9,-64.4833,53.19,90,100,3.27
174,Dicabisagan,PH,2021-05-23 20:19:13,17.0818,122.4157,79.34,87,3,4.56
175,Rundu,NA,2021-05-23 20:19:13,-17.9333,19.7667,58.71,42,0,6.04
176,Deputatskiy,RU,2021-05-23 20:19:14,69.3,139.9,26.35,83,12,3.65
177,Vila Velha,BR,2021-05-23 20:18:19,-20.3297,-40.2925,84.96,74,0,14.0
178,Te Anau,NZ,2021-05-23 20:19:14,-45.4167,167.7167,39.67,94,22,4.16
179,Cahokia,US,2021-05-23 20:19:15,38.5709,-90.1901,90.81,41,1,6.91
180,Montepuez,MZ,2021-05-23 20:19:15,-13.1256,38.9997,62.46,93,71,5.28
181,Namibe,AO,2021-05-23 20:19:15,-15.1961,12.1522,73.2,83,70,6.51
182,Barrow,US,2021-05-23 20:19:16,71.2906,-156.7887,32.02,86,90,17.27
183,Mehamn,NO,2021-05-23 20:19:16,71.0357,27.8492,36.52,58,43,2.1
184,Chokurdakh,RU,2021-05-23 20:19:16,70.6333,147.9167,26.31,97,100,4.81
185,Olinda,BR,2021-05-23 20:19:17,-8.0089,-34.8553,78.53,75,75,10.13
186,Mar Del Plata,AR,2021-05-23 20:19:17,-38.0023,-57.5575,57.09,54,75,10.0
187,Puerto Madryn,AR,2021-05-23 20:19:18,-42.7692,-65.0385,58.32,53,98,9.51
188,Tamale,GH,2021-05-23 20:19:18,9.4008,-0.8393,84.51,55,69,5.55
189,Sungairaya,ID,2021-05-23 20:19:18,0.7,108.9,77.74,88,100,2.86
190,Ribeira Grande,PT,2021-05-23 20:19:19,38.5167,-28.7,64.8,59,20,10.36
191,Kushiro,JP,2021-05-23 20:19:19,42.975,144.3747,48.67,96,100,2.59
192,Marrakesh,MA,2021-05-23 20:15:08,31.6315,-8.0083,69.87,35,20,14.97
193,Cherskiy,RU,2021-05-23 20:19:20,68.75,161.3,40.93,57,11,5.55
194,Alice Springs,AU,2021-05-23 20:19:20,-23.7,133.8833,45.95,39,0,8.32
195,Port Hardy,CA,2021-05-23 20:15:29,50.6996,-127.4199,55.58,76,75,9.22
196,Carinhanha,BR,2021-05-23 20:19:21,-14.3047,-43.765,90.43,26,84,0.89
197,Grand Gaube,MU,2021-05-23 20:19:21,-20.0064,57.6608,70.38,80,14,4.0
198,Hay River,CA,2021-05-23 20:15:13,60.8156,-115.7999,62.58,36,40,8.05
199,Sinnamary,GF,2021-05-23 20:19:21,5.3833,-52.95,77.22,94,100,12.12
200,Makat,KZ,2021-05-23 20:19:22,47.6469,53.3463,80.91,18,32,10.49
201,Kropotkin,RU,2021-05-23 20:19:22,45.4375,40.5756,65.71,94,84,5.3
202,Chuy,UY,2021-05-23 20:19:22,-33.6971,-53.4616,53.98,88,100,23.58
203,Porto San Giorgio,IT,2021-05-23 20:19:23,43.1827,13.7934,72.03,74,99,9.75
204,Talnakh,RU,2021-05-23 20:19:23,69.4865,88.3972,36.34,100,100,4.72
205,Banda Aceh,ID,2021-05-23 20:19:23,5.5577,95.3222,81.23,80,100,10.6
206,Tigil,RU,2021-05-23 20:19:24,57.8,158.6667,37.04,76,87,7.34
207,Seoul,KR,2021-05-23 20:16:42,37.5683,126.9778,60.31,73,75,2.91
208,Valentin Gomez Farias,MX,2021-05-23 20:19:24,28.2167,-106.5833,86.63,10,0,11.86
209,Nuuk,GL,2021-05-23 20:19:25,64.1835,-51.7216,34.41,86,75,25.32
210,Yaring,TH,2021-05-23 20:19:25,6.8662,101.3689,78.67,86,96,4.68
211,Soltsy,RU,2021-05-23 20:19:25,58.1239,30.3238,47.1,94,100,13.38
212,Arlit,NE,2021-05-23 20:19:26,18.7369,7.3853,94.62,7,2,6.33
213,Telica,NI,2021-05-23 20:19:26,12.522,-86.8594,94.35,33,100,7.07
214,Sorland,NO,2021-05-23 20:19:26,67.667,12.6934,44.67,68,100,13.91
215,Necochea,AR,2021-05-23 20:19:27,-38.5473,-58.7368,55.27,70,100,18.95
216,Verkhnedneprovskiy,RU,2021-05-23 20:19:27,54.9813,33.3457,46.87,96,14,7.11
217,Baie-Comeau,CA,2021-05-23 20:19:27,49.2168,-68.1489,58.68,37,40,7.11
218,Mount Isa,AU,2021-05-23 20:19:28,-20.7333,139.5,53.37,66,2,0.0
219,Namatanai,PG,2021-05-23 20:19:28,-3.6667,152.4333,77.13,91,100,1.14
220,Costa Rica,BR,2021-05-23 20:18:47,-23.4167,-54.65,68.14,29,0,9.13
221,Tasiilaq,GL,2021-05-23 20:18:36,65.6145,-37.6368,32.16,96,100,10.09
222,Caucaia,BR,2021-05-23 20:19:29,-3.7361,-38.6531,84.15,79,20,7.87
223,Belyy Yar,RU,2021-05-23 20:19:29,53.6039,91.3903,58.89,83,0,10.13
