City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Mahebourg,MU,-20.4081,57.7,73.69,83,75,9.22,light rain
120,Dejen,ET,10.1667,38.1333,56.66,63,73,2.66,broken clouds
121,Macenta,GN,8.5435,-9.471,70.05,99,32,1.03,light rain
122,Quatre Cocos,MU,-20.2078,57.7625,73.51,75,40,16.6,light rain
123,Loandjili,CG,-4.7561,11.8578,78.91,89,40,4.61,scattered clouds
124,Nanortalik,GL,60.1432,-45.2371,35.89,86,81,13.58,broken clouds
125,Tunduma,TZ,-9.3,32.7667,54.3,87,64,4.09,broken clouds
126,Upernavik,GL,72.7868,-56.1549,33.76,70,10,2.8,clear sky
127,Port Elizabeth,ZA,-33.918,25.5701,43.09,87,0,5.75,clear sky
128,Bredasdorp,ZA,-34.5322,20.0403,52.29,93,100,2.84,overcast clouds
129,Mana,GF,5.6592,-53.7767,77.13,92,94,8.3,overcast clouds
130,Ulladulla,AU,-35.35,150.4667,61.88,72,39,4.38,scattered clouds
131,Luganville,VU,-15.5333,167.1667,79.79,72,84,9.57,broken clouds
132,Airai,TL,-8.9266,125.4092,66.24,71,37,3.33,scattered clouds
133,Komsomolskiy,UZ,40.4272,71.7189,77.72,27,21,11.5,few clouds
134,Uray,RU,60.1247,64.7758,37.76,61,2,8.75,clear sky
135,Sorland,NO,67.667,12.6934,50.99,76,4,6.6,clear sky
136,Kotri,PK,25.366,68.3122,83.46,72,4,15.77,clear sky
137,Alofi,NU,-19.0595,-169.9187,76.71,80,86,9.82,moderate rain
138,Latung,PH,5.5,120.8833,83.75,77,85,8.34,overcast clouds
139,Tokmak,UA,47.2514,35.7058,53.67,97,100,10.47,overcast clouds
140,Codrington,AU,-38.2667,141.9667,52.43,56,71,15.28,broken clouds
141,Mecca,SA,21.4267,39.8261,85.95,49,29,1.86,scattered clouds
142,Goure,NE,13.9835,10.2704,86.63,16,9,6.76,clear sky
143,Gravdal,NO,68.1214,13.5031,51.66,72,6,3.33,clear sky
144,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,75,75,16.11,broken clouds
145,Khor,RU,47.8861,134.9464,53.31,97,100,5.08,overcast clouds
146,Samur,RU,41.8253,48.486,63.59,72,1,6.62,clear sky
147,Tiksi,RU,71.6872,128.8694,31.96,93,100,5.64,light snow
148,Rock Hill,US,34.9249,-81.0251,80.62,78,1,8.05,clear sky
149,Soyo,AO,-6.1349,12.3689,76.48,89,37,6.58,scattered clouds
150,Mount Gambier,AU,-37.8333,140.7667,48.11,93,90,5.75,overcast clouds
151,Bengkulu,ID,-3.8004,102.2655,76.48,92,94,4.54,overcast clouds
152,Dunedin,NZ,-45.8742,170.5036,53.8,64,100,11.01,overcast clouds
153,Cidreira,BR,-30.1811,-50.2056,60.55,83,1,11.3,clear sky
154,Kulhudhuffushi,MV,6.6221,73.07,82.51,78,69,18.1,broken clouds
155,Westport,US,41.1415,-73.3579,71.91,93,75,5.61,moderate rain
156,Indramayu,ID,-6.3264,108.32,81.72,82,95,10.38,overcast clouds
157,Torbay,CA,47.6666,-52.7314,65.17,55,75,9.22,broken clouds
158,Kerman,IR,30.2832,57.0788,69.66,16,0,5.84,clear sky
159,Woodward,US,36.4337,-99.3904,83.73,30,1,6.82,clear sky
160,Terme,TR,41.2092,36.9739,60.73,83,11,5.75,few clouds
161,Smithers,CA,54.7804,-127.1743,61.12,44,75,4.61,broken clouds
162,Kaitangata,NZ,-46.2817,169.8464,55.92,73,86,2.86,overcast clouds
163,Jiaozuo,CN,35.2397,113.2331,79.92,14,16,7.85,few clouds
164,Ancud,CL,-41.8697,-73.8203,49.53,86,100,13.82,light rain
165,Iskateley,RU,67.6803,53.1512,44.2,58,3,7.58,clear sky
166,Chumikan,RU,54.7183,135.315,35.71,97,100,6.42,overcast clouds
167,Linxia,CN,35.6003,103.2064,58.08,45,75,2.21,broken clouds
168,Grand Bend,CA,43.3168,-81.7498,75.11,73,71,2.44,broken clouds
169,Bandarbeyla,SO,9.4942,50.8122,79.56,80,97,17.54,overcast clouds
170,Iqaluit,CA,63.7506,-68.5145,29.93,92,90,5.99,light snow
171,Arraial Do Cabo,BR,-22.9661,-42.0278,74.1,84,0,3.87,clear sky
172,Kabardinka,RU,44.6514,37.9428,57.42,94,100,25.72,moderate rain
173,Vestmannaeyjar,IS,63.4427,-20.2734,48.94,75,100,27.69,overcast clouds
174,Luena,AO,-11.7833,19.9167,52.38,61,7,4.65,clear sky
175,Kalmunai,LK,7.4167,81.8167,79.21,85,100,3.6,overcast clouds
176,Georgetown,MY,5.4112,100.3354,80.53,91,20,3.0,few clouds
177,Yumen,CN,40.2833,97.2,72.52,7,0,5.08,clear sky
178,Sobolevo,RU,54.4299,31.8996,53.65,76,43,6.44,light rain
179,Sambava,MG,-14.2667,50.1667,70.86,87,80,7.72,broken clouds
180,Forquilhinha,BR,-28.7475,-49.4722,55.85,97,1,1.16,clear sky
181,Tiarei,PF,-17.5333,-149.3333,82.42,82,25,14.0,light rain
182,Kruisfontein,ZA,-34.0033,24.7314,47.53,72,25,4.16,scattered clouds
183,Huarmey,PE,-10.0681,-78.1522,65.86,83,31,7.63,scattered clouds
184,Hobyo,SO,5.3505,48.5268,77.99,88,75,23.42,broken clouds
185,Mahanoro,MG,-19.9,48.8,67.71,89,9,3.74,clear sky
186,Aklavik,CA,68.2191,-135.0107,49.03,71,75,8.05,broken clouds
187,Souillac,MU,-20.5167,57.5167,73.78,83,75,14.9,broken clouds
188,Lianran,CN,24.9227,102.485,52.34,71,98,5.75,overcast clouds
189,Shubarkuduk,KZ,49.1447,56.4872,63.68,87,20,10.38,few clouds
190,Lalibela,ET,12.0333,39.0333,61.97,50,60,6.26,broken clouds
191,Progreso,MX,21.2833,-89.6667,81.91,75,49,15.73,scattered clouds
192,Port Lincoln,AU,-34.7333,135.8667,59.83,67,28,9.95,scattered clouds
193,Severo-Kurilsk,RU,50.6789,156.125,46.22,73,68,7.96,broken clouds
194,Gomel,BY,52.4345,30.9754,55.38,76,0,6.67,clear sky
195,Ahipara,NZ,-35.1667,173.1667,61.54,57,12,3.18,few clouds
196,Blind River,CA,46.1834,-82.9582,62.85,79,100,6.15,overcast clouds
197,Banepa,NP,27.6298,85.5214,66.52,94,20,2.68,few clouds
198,Champerico,GT,14.3,-91.9167,88.34,68,9,4.25,clear sky
199,Karratha,AU,-20.7377,116.8463,67.21,48,100,17.43,light rain
200,Barcelos,PT,41.5388,-8.6151,56.28,86,6,4.38,clear sky
201,Hamilton,US,39.1834,-84.5333,68.2,95,90,2.57,moderate rain
202,Leningradskiy,RU,69.3833,178.4167,31.82,81,60,8.03,broken clouds
203,Maryville,US,35.7565,-83.9705,75.45,85,90,1.01,overcast clouds
204,Ribeira Grande,PT,38.5167,-28.7,62.51,69,46,10.38,scattered clouds
205,Mandalgovi,MN,45.7625,106.2708,53.2,56,0,4.54,clear sky
206,Chincholi,IN,17.4667,77.4333,78.44,73,80,3.94,broken clouds
207,Kropotkin,RU,45.4375,40.5756,51.19,88,65,6.8,broken clouds
208,Okhotsk,RU,59.3833,143.3,45.46,76,3,6.22,clear sky
209,Chauk,MM,20.8833,94.8167,84.76,67,79,9.62,broken clouds
210,Pevek,RU,69.7008,170.3133,35.49,71,38,0.83,scattered clouds
211,Panguna,PG,-6.3164,155.4848,80.94,65,93,1.97,overcast clouds
212,Tshane,BW,-24.0196,21.8684,47.8,54,0,6.33,clear sky
213,Kassala,SD,15.451,36.4,86.97,38,60,9.33,broken clouds
214,Podporozhye,RU,60.9112,34.1706,50.47,81,0,3.56,clear sky
215,Yulara,AU,-25.2406,130.9889,49.84,76,83,5.75,broken clouds
216,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.63,87,0,5.59,clear sky
217,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,52.21,69,37,6.93,scattered clouds
218,Swellendam,ZA,-34.0226,20.4417,44.98,65,100,2.33,overcast clouds
219,Idah,NG,7.1065,6.7342,76.53,94,57,3.22,light rain
220,Kijang,KR,35.2442,129.2139,69.53,74,99,4.43,overcast clouds
221,Saint-Philippe,RE,-21.3585,55.7679,71.15,81,10,10.22,light rain
222,Sola,VU,-13.8833,167.55,84.87,74,75,6.91,broken clouds
223,Zheleznodorozhnyy,RU,55.7503,38.0042,55.81,80,23,7.34,few clouds
224,Cilegon,ID,-6.0174,106.0538,82.29,86,89,6.11,overcast clouds
225,Ormara,PK,25.2088,64.6357,84.88,74,82,3.04,broken clouds
226,Uige,AO,-7.6087,15.0613,65.7,70,7,2.73,clear sky
227,Vardo,NO,70.3705,31.1107,49.06,67,30,5.99,scattered clouds
228,Fortuna,US,40.5982,-124.1573,65.66,84,75,5.01,broken clouds
229,Somovo,RU,51.741,39.3665,57.7,44,0,9.6,clear sky
230,Bam,IR,29.106,58.357,90.81,8,35,7.16,scattered clouds
231,Talnakh,RU,69.4865,88.3972,32.95,100,100,4.61,light snow
232,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.83,69,39,2.66,scattered clouds
233,Aboyne,GB,57.0755,-2.7802,52.83,89,66,4.25,broken clouds
234,Mardin,TR,37.3131,40.7436,62.15,31,0,1.9,clear sky
235,Portland,US,45.5234,-122.6762,85.64,49,20,1.99,few clouds
236,Klaksvik,FO,62.2266,-6.589,50.92,95,82,16.89,broken clouds
237,Bontang,ID,0.1333,117.5,82.81,77,94,1.83,overcast clouds
238,Wagar,SD,16.1525,36.2032,90.27,33,52,6.6,broken clouds
239,Mitsamiouli,KM,-11.3847,43.2844,77.34,74,21,4.54,few clouds
240,Balkhash,KZ,46.844,74.9804,70.02,62,75,10.83,broken clouds
241,Gat,IL,31.61,34.7642,66.88,74,20,1.25,few clouds
242,Pietarsaari,FI,63.65,22.6833,48.33,76,99,4.52,overcast clouds
243,Lavrentiya,RU,65.5833,-171.0,33.85,69,99,2.73,overcast clouds
244,Chandigarh,IN,30.7343,76.7933,81.43,39,17,4.97,few clouds
245,San Andres,CO,12.5847,-81.7006,86.02,66,20,10.36,few clouds
246,Ayr,GB,55.4627,-4.6339,53.58,76,18,14.97,few clouds
247,Niamey,NE,13.5137,2.1098,95.29,31,0,9.22,clear sky
248,Wad Madani,SD,14.4012,33.5199,83.95,56,62,22.44,broken clouds
249,Luanda,AO,-8.8368,13.2343,77.0,88,75,4.61,broken clouds
250,Banda Aceh,ID,5.5577,95.3222,80.19,84,89,9.22,overcast clouds
251,Oeiras,BR,-7.0253,-42.1311,89.92,30,71,8.28,broken clouds
252,Lorengau,PG,-2.0226,147.2712,83.97,69,82,1.19,broken clouds
253,Lagoa,PT,39.05,-27.9833,61.52,71,16,14.34,few clouds
254,Muros,ES,42.7762,-9.0603,52.3,88,35,6.13,scattered clouds
255,Boyolangu,ID,-8.1181,111.8935,76.77,85,92,1.07,overcast clouds
256,San Policarpo,PH,12.1791,125.5072,81.21,76,100,2.44,overcast clouds
257,Husainabad,IN,24.5333,84.0167,89.13,44,72,2.73,broken clouds
258,Aconibe,GQ,1.2968,10.9369,68.05,98,77,2.98,broken clouds
259,Baiyin,CN,36.5583,104.2081,52.68,16,0,0.54,clear sky
260,Mogadishu,SO,2.0371,45.3438,78.28,84,23,16.53,few clouds
261,Bull Savanna,JM,17.8868,-77.5902,77.25,78,75,8.81,broken clouds
262,Mayo,US,38.8876,-76.5119,76.55,91,20,3.0,moderate rain
263,Marzuq,YE,14.4,46.4667,75.2,60,83,5.46,broken clouds
264,Coihaique,CL,-45.5752,-72.0662,42.75,81,90,4.61,light rain
265,Butembo,CD,0.15,29.2833,57.36,93,94,2.46,overcast clouds
266,The Valley,AI,18.217,-63.0578,82.26,78,20,12.66,few clouds
267,Chimbote,PE,-9.0853,-78.5783,65.1,84,10,7.25,clear sky
268,Arman,RU,59.7,150.1667,40.59,93,100,0.27,overcast clouds
269,Olafsvik,IS,64.8945,-23.7142,48.33,80,100,10.92,overcast clouds
270,Mamallapuram,IN,12.6264,80.1722,85.05,75,100,9.37,overcast clouds
